Series Name,Series Code,Country Name,Country Code,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GDP (current US$),NY.GDP.MKTP.CD,Dominican Republic,DOM,58029750746,60681537196,62682163837,67179914027,71164825257,75704720190,79997975622,85555378043,88941299734,78844702329
GDP (current US$),NY.GDP.MKTP.CD,Ecuador,ECU,79276664000,87924544000,95129659000,1.01726E+11,99290381000,99937696000,1.04296E+11,1.07562E+11,1.08108E+11,98808010000
GDP (current US$),NY.GDP.MKTP.CD,"Egypt, Arab Rep.",EGY,2.3599E+11,2.79117E+11,2.88434E+11,3.05595E+11,3.29367E+11,3.32442E+11,2.35734E+11,2.49713E+11,3.03081E+11,3.63069E+11
GDP (current US$),NY.GDP.MKTP.CD,El Salvador,SLV,20283790000,21386150000,21990970000,22593460000,23438240000,24191430000,24979200000,26020850000,26896660000,24638720000
GDP (current US$),NY.GDP.MKTP.CD,Equatorial Guinea,GNQ,21357343682,22388344124,21948834290,21765453087,13185496881,11240808847,12200913888,13097012189,11417278045,10021856754
GDP (current US$),NY.GDP.MKTP.CD,Eritrea,ERI,2065001626,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Estonia,EST,23394844085,23192708982,25271406708,26773473625,23048864243,24259552889,26885077005,30616184212,31471100656,31029968591
GDP (current US$),NY.GDP.MKTP.CD,Eswatini,SWZ,4820499497,4886658806,4597702903,4422304975,4062660890,3816018485,4402973000,4665424249,4471598727,3962493093
GDP (current US$),NY.GDP.MKTP.CD,Ethiopia,ETH,31952763089,43310721414,47648211133,55612228234,64589334979,74296618481,81770791971,84269348327,95912590628,1.07645E+11
GDP (current US$),NY.GDP.MKTP.CD,Faroe Islands,FRO,2490807831,2366301252,2627049837,2850743875,2518096286,2738832687,2899226098,3051341336,3126293220,..
GDP (current US$),NY.GDP.MKTP.CD,Fiji,FJI,3774530616,3972012571,4190143206,4856963230,4682546863,4930204230,5353404422,5581393121,5496250694,4376014756
GDP (current US$),NY.GDP.MKTP.CD,Finland,FIN,2.75244E+11,2.58305E+11,2.71285E+11,2.74497E+11,2.3444E+11,2.40608E+11,2.55017E+11,2.7585E+11,2.68966E+11,2.71234E+11
GDP (current US$),NY.GDP.MKTP.CD,France,FRA,2.86141E+12,2.68383E+12,2.81108E+12,2.85217E+12,2.43821E+12,2.47129E+12,2.58874E+12,2.7865E+12,2.71552E+12,2.603E+12
GDP (current US$),NY.GDP.MKTP.CD,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..
GDP (current US$),NY.GDP.MKTP.CD,Gabon,GAB,18210308748,17170465294,17595745653,18203968002,14383107714,14023890620,14929488771,16862282414,16874450215,15593181271
GDP (current US$),NY.GDP.MKTP.CD,"Gambia, The",GMB,1409694554,1415006238,1375608956,1229460602,1378176868,1484579844,1504909753,1670670669,1826073740,1901930158
GDP (current US$),NY.GDP.MKTP.CD,Georgia,GEO,15107441447,16488403076,17189551521,17627003455,14953950557,15141758567,16242916916,17599700091,17477255562,15891688903
GDP (current US$),NY.GDP.MKTP.CD,Germany,DEU,3.74441E+12,3.52734E+12,3.73274E+12,3.88392E+12,3.35624E+12,3.4675E+12,3.67351E+12,3.96183E+12,3.86112E+12,3.80606E+12
